Title,Ingredient_ID,Match_Length,Match_Length/Length_Seq_Origional,Seq_Coverage,PDB_Coverage,Score,Expect,Length,Identities_(Percent),Identities,Positives_(Percent),Positives,Gaps_(Percent),Gaps,Organism,Deposited,Pseudo_Stoichiometry,Weight,Atoms,Residues,OPM,Method,PDB_Title,Chains
BRUNNER,139,405,0.85,0.85,0.97,743 bits (1917),0,416,0.84,343/405 (84%),0.94,384/405 (94%),0.03,17/441 (3%),Homo sapiens,2014-04-14,,53822.59,3568,416,4Q4F_mb,Composition-based stats,Lysosome sorting of beta-glucocerebrosidase by LIMP-2 is targeted by the mannose 6-phosphate receptor.,1
BS,275,209,0.75,0.75,1,359 bits (921),3.00E-99,209,0.87,182/209 (87%),0.92,194/209 (92%),0,1/209 (0%),Homo sapiens,1998-11-02,,71478.31,4265,627,,Composition-based stats,"Crystal structure of human p32, a doughnut-shaped acidic mitochondrial matrix protein.",1
BS,160,99,0.22,0.23,0.96,144 bits (363),3.00E-34,103,0.82,82/99 (82%),0.82,82/99 (82%),0.05,4/77 (5%),Homo sapiens,2004-03-11,,12419.8,842,103,1SNL_mb,Composition-based stats,Structural Studies on the Ca(2+)-binding Domain of Human Nucleobindin (Calnuc).,1
BRUNNER,254,411,0.89,0.95,0.9,212 bits (539),1.00E-54,455,0.33,139/411 (33%),0.53,218/411 (53%),0.09,39/411 (9%),Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),2008-12-22,,106552.29,7302,910,,Composition-based stats,Structural basis of alpha-fucosidase inhibition by iminocyclitols with K(i) values in the micro- to picomolar range.,1
BHSG,44,402,0.84,0.9,0.92,419 bits (1077),1.00E-117,439,0.52,211/402 (52%),0.68,276/402 (68%),0.04,19/402 (4%),Homo sapiens,2006-11-05,,51232.3,3199,439,2NSM_mb,Composition-based stats,Crystal structure of the human carboxypeptidase N (kininase I) catalytic domain,1
BRUNNER,169,409,0.89,0.94,0.9,211 bits (537),2.00E-54,455,0.37,153/409 (37%),0.54,221/409 (54%),0.12,50/409 (12%),Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),2008-12-22,,106552.29,7302,910,,Composition-based stats,Structural basis of alpha-fucosidase inhibition by iminocyclitols with K(i) values in the micro- to picomolar range.,1
BSG,232,51,0.11,0.11,0.27,30.0 bits (66),9.6,190,0.31,16/51 (31%),0.5,26/51 (50%),0.05,3/51 (5%),Schistosoma japonicum,2016-04-27,,64726.73,3957,570,5JLY_mb,Composition-based stats,Crystal structure of Peroxiredoxin-1 from Schistosoma japonicum,1
BHSG,54,20,0.042918455,0.044642857,0.952380952,39.7 bits (91),0.012,21,0.95,19/20 (95%),0.95,19/20 (95%),,,Homo sapiens,2002-05-24,,2330.71,164,21,1LV4_mb,Composition-based stats,Conformational preferences and activities of peptides from the catecholamine release-inhibitory (catestatin) region of chromogranin A.,1
BRUNNER,45,435,0.95,1,0.99,747 bits (1929),0,439,0.81,355/435 (81%),0.89,389/435 (89%),0,1/435 (0%),Homo sapiens,2006-11-05,,51232.3,3199,439,2NSM_mb,Composition-based stats,Crystal structure of the human carboxypeptidase N (kininase I) catalytic domain,1
BRUNNER,49,214,0.46,0.48,1,384 bits (987),1.00E-106,214,0.85,184/214 (85%),0.94,202/214 (94%),0.04,9/218 (4%),Homo sapiens,2002-07-15,,48480.81,3404,428,1M6D_mb,Composition-based stats,The crystal structure of human cathepsin F and its implications for the development of novel immunomodulators,1
SCHVARTZ,111,435,0.92,0.97,0.78,280 bits (717),3.00E-75,561,0.39,173/435 (39%),0.57,248/435 (57%),0.12,54/435 (12%),Rattus norvegicus,2013-02-14,,65122.32,4293,561,,Composition-based stats,"Structure and function of Hip, an attenuator of the Hsp70 chaperone cycle.",1
SCHVARTZ,104,139,0.3,0.3,0.99,287 bits (734),4.00E-77,140,0.99,138/139 (99%),0.99,138/139 (99%),0.07,9/128 (7%),Semliki forest virus,2016-02-12,,35656.03,2456,305,,Composition-based stats,"Combined structural, biochemical and cellular evidence demonstrates that both FGDF motifs in alphavirus nsP3 are required for efficient replication.",2
SCHVARTZ,21,189,1,1,0.96,332 bits (850),3.00E-91,196,0.91,172/189 (91%),0.96,183/189 (96%),0.02,4/186 (2%),Homo sapiens,2008-11-07,,20852.03,1458,196,,Composition-based stats,Formation of a Stabilized Cysteine Sulfinic Acid Is Critical for the Mitochondrial Function of the Parkinsonism Protein DJ-1.,1
BS,59,64,0.14,0.15,0.12,30.0 bits (66),9.4,543,0.32,21/64 (32%),0.5,32/64 (50%),0.17,11/64 (17%),Saccharomyces cerevisiae (strain ATCC 204508 / S288c),2014-08-18,,76108.77,4098,664,4UX3_mb,Composition-based stats,Closing the Cohesin Ring: Structure and Function of its Smc3-Kleisin Interface.,2
BRUNNER,194,399,0.88,0.92,0.88,719 bits (1855),0,452,0.86,346/399 (86%),0.92,370/399 (92%),0,2/399 (0%),Homo sapiens,1996-06-12,,104299.26,7256,904,,Composition-based stats,Three-dimensional structure of the human 'protective protein': structure of the precursor form suggests a complex activation mechanism.,1
BRUNNER,226,432,0.96,1.02,0.89,101 bits (252),3.00E-21,483,0.25,111/432 (25%),0.38,167/432 (38%),0.15,67/432 (15%),Saccharomyces cerevisiae (strain ATCC 204508 / S288c),1997-02-13,,54935.8,3799,483,,Composition-based stats,"Crystal structure of Kex1deltap, a prohormone-processing carboxypeptidase from Saccharomyces cerevisiae.",1
SCHVARTZ,267,,,,,,,,,,,,,,,,,,,,,,,
HICKEY,114,82,0.18,0.18,0.92,102 bits (254),2.00E-21,89,0.67,55/82 (67%),0.67,55/82 (67%),0.04,2/46 (4%),Homo sapiens,2002-05-13,,12611.79,671,99,,Composition-based stats,Molecular basis of sequence-specific single-stranded DNA recognition by KH domains: solution structure of a complex between hnRNP K KH3 and single-stranded DNA.,1
BRUNNER,36,250,0.52,0.52,0.52,120 bits (300),7.00E-27,478,0.29,74/250 (29%),0.51,129/250 (51%),0.04,12/250 (4%),Saccharomyces cerevisiae (strain ATCC 204508 / S288c),2017-05-03,Hetero 33-mer - A8B6C3D3E3F2GHIJKLMN,1151450.75,34724,10375,,Composition-based stats,Molecular basis for the binding and modulation of V-ATPase by a bacterial effector protein.,16
HICKEY,244,463,1,1,1,922 bits (2382),0,463,0.99,462/463 (99%),1,463/463 (100%),0,2/443 (0%),Oryctolagus cuniculus,2013-08-07,,102345.13,6942,926,,Composition-based stats,Mammalian Translation Elongation Factor Eef1A2: X-Ray Structure and New Features of Gdp/GTP Exchange Mechanism in Higher Eukaryotes,1
HICKEY,262,432,0.96,0.96,0.99,895 bits (2314),0,437,0.97,420/432 (97%),0.97,420/432 (97%),0.06,26/431 (6%),Homo sapiens,2016-04-15,Homo 12-mer - A12,585311.69,40512,5178,,Composition-based stats,Structure and Dynamics of Single-isoform Recombinant Neuronal Human Tubulin.,2
BHS,161,99,0.24,0.25,0.96,113 bits (283),6.00E-25,103,0.63,63/99 (63%),0.74,74/99 (74%),0.05,4/77 (5%),Homo sapiens,2004-03-11,,12419.8,842,103,1SNL_mb,Composition-based stats,Structural Studies on the Ca(2+)-binding Domain of Human Nucleobindin (Calnuc).,1
HS,263,430,0.97,0.97,0.97,862 bits (2228),0,445,0.95,411/430 (95%),0.95,411/430 (95%),0.02,10/440 (2%),Bos taurus,2018-01-24,Hetero 6-mer - A4BC,265441.44,17748,2319,,Composition-based stats,High-affinity ligands of the colchicine domain in tubulin based on a structure-guided design.,4
SCHVARTZ,234,374,0.87,0.87,0.88,608 bits (1568),1.00E-174,427,0.8,302/374 (80%),0.87,326/374 (87%),0.01,4/363 (1%),Homo sapiens,2007-06-15,Homo 3-mer - A3,140746.77,4495,1206,,Composition-based stats,Structural insight into filament formation by mammalian septins.,3
SCHVARTZ,193,422,1,1,1,733 bits (1892),0,422,0.96,408/422 (96%),0.96,408/422 (96%),0.01,6/388 (1%),Rattus norvegicus,2017-10-11,Hetero 32-mer - A14B5CDEFGHIJKLMNO,1284003.13,82757,11447,,Composition-based stats,In Situ Structure of Neuronal C9orf72 Poly-GA Aggregates Reveals Proteasome Recruitment.,32
SCHVARTZ,241,66,0.2,0.2,1.02,52.0 bits (123),2.00E-06,65,0.39,26/66 (39%),0.56,37/66 (56%),0.07,5/66 (7%),Homo sapiens,2002-02-27,,7261.08,506,65,,Composition-based stats,"Synthesis and NMR structure of P41ICF, a potent inhibitor of human cathepsin L",1
BS,180,101,0.25,0.27,1.03,55.1 bits (131),2.00E-07,98,0.31,32/101 (31%),0.46,47/101 (46%),0.08,9/101 (8%),Homo sapiens,2007-04-04,,56997.46,3934,490,,Composition-based stats,Plasticity of the TSG-6 HA-binding loop and mobility in the TSG-6-HA complex revealed by NMR and X-ray crystallography,1
BRUNNER,174,387,0.92,0.92,0.97,672 bits (1733),0,398,0.8,312/387 (80%),0.9,350/387 (90%),0,1/387 (0%),Homo sapiens,2013-12-09,,93671.76,6440,796,,Composition-based stats,Molecular Basis of 1-Deoxygalactonojirimycin Arylthiourea Binding to Human alpha-Galactosidase A: Pharmacological Chaperoning Efficacy on Fabry Disease Mutants.,1
BS,225,19,0.05,0.06,0.05,46.2 bits (108),8.00E-05,384,1,19/19 (100%),1,19/19 (100%),0.05,3/53 (5%),Homo sapiens,2010-01-10,,85512.79,5836,768,3LC8_mb,Composition-based stats,Structural analysis of the intracellular domain of (pro)renin receptor fused to maltose-binding protein.,1
SCHVARTZ,63,453,1,1,1,672 bits (1733),0,453,0.78,354/453 (78%),0.85,388/453 (85%),0,1/453 (0%),Bos taurus,2018-02-06,Hetero 18-mer - A4B2C2D2E2F2G2H2,504353.28,30720,4518,,Composition-based stats,X-ray and cryo-EM structures of inhibitor-bound cytochromebc1complexes for structure-based drug discovery.,9
HICKEY,197,125,0.28,0.3,0.94,243 bits (621),4.00E-64,133,0.94,118/125 (94%),0.97,122/125 (97%),0.04,5/110 (4%),Homo sapiens,2005-05-15,,14339.79,1008,133,,Composition-based stats,The solution structure of the second thioredoxin-like domain of human  Protein disulfide-isomerase A6,1
HICKEY,42,340,0.82,0.85,0.85,555 bits (1431),1.00E-158,400,0.87,297/340 (87%),0.89,304/340 (89%),0.08,30/340 (8%),Homo sapiens,2017-10-07,,197884.17,7778,1749,,Composition-based stats,Structure of the human MHC-I peptide-loading complex.,5
BS,258,410,0.96,1,1,579 bits (1493),1.00E-165,409,0.71,294/410 (71%),0.8,332/410 (80%),0.01,6/410 (1%),Homo sapiens,2005-10-17,,93899.54,6588,818,,Composition-based stats,Structural basis for mammalian vitamin B12 transport by transcobalamin.,1
SCHVARTZ,5,418,1,1,1,743 bits (1919),0,418,0.93,391/418 (93%),0.93,391/418 (93%),0.02,10/428 (2%),Rattus norvegicus,2017-10-11,Hetero 32-mer - A14B5CDEFGHIJKLMNO,1284003.13,82757,11447,,Composition-based stats,In Situ Structure of Neuronal C9orf72 Poly-GA Aggregates Reveals Proteasome Recruitment.,32
HICKEY,98,399,0.93,0.93,1,842 bits (2174),0,401,0.98,394/399 (98%),0.99,398/399 (99%),0.01,7/402 (1%),Mus musculus,2010-10-22,,180642.95,12703,1604,,Composition-based stats,"Biochemical and structural characterization of mouse mitochondrial aspartate aminotransferase, a newly identified kynurenine aminotransferase-IV.",2
BRUNNER,158,192,0.44,0.47,0.88,107 bits (268),3.00E-23,217,0.31,61/192 (31%),0.51,99/192 (51%),0.05,10/192 (5%),Limulus polyphemus,2008-12-19,,48140.11,3358,434,,Composition-based stats,Crystal structures of Limulus SAP-like pentraxin reveal two molecular aggregations.,1
HICKEY,25,434,1,1,1,834 bits (2154),0,434,0.94,411/434 (94%),0.98,426/434 (98%),0,2/432 (0%),Homo sapiens,2007-05-07,,189493.77,13221,1736,,Composition-based stats,Crystal Structure of Enolase1 alpha,1
BS,240,47,0.11,0.12,0.72,48.1 bits (113),3.00E-05,65,0.48,23/47 (48%),0.59,28/47 (59%),0.1,7/64 (10%),Homo sapiens,2002-02-27,,7261.08,506,65,,Composition-based stats,"Synthesis and NMR structure of P41ICF, a potent inhibitor of human cathepsin L",1
BRUNNER,27,389,0.94,0.98,0.97,694 bits (1790),0,400,0.82,321/389 (82%),0.9,352/389 (90%),0,1/386 (0%),Homo sapiens,2012-02-09,,96544.79,6640,800,,Composition-based stats,Pharmacological chaperones for human alpha-N-acetylgalactosaminidase,1
SCHVARTZ,163,308,0.79,0.79,0.74,100 bits (248),6.00E-21,417,0.25,78/308 (25%),0.41,128/308 (41%),0.04,13/308 (4%),Saccharomyces cerevisiae (strain ATCC 204508 / S288c),2005-09-08,,47930.38,2323,417,,Composition-based stats,The structure of nucleosome assembly protein 1.,1
BRUNNER,141,167,0.41,0.43,0.99,235 bits (600),9.00E-62,169,0.7,118/167 (70%),0.85,142/167 (85%),0,1/167 (0%),Mus musculus,2016-09-01,,40640.98,2691,338,5GV3_mb,Composition-based stats,Different assembly modes of lysosome-associated membrane proteins-1 and -2 (LAMP-1 and LAMP-2),1
SCHVARTZ,46,391,1,1,1,743 bits (1918),0,391,0.93,364/391 (93%),0.93,366/391 (93%),0,1/337 (0%),Homo sapiens,2017-08-03,,92288.66,5756,782,,Composition-based stats,"Unexpected Binding Mode of a Potent Indeno[1,2-b]indole-Type Inhibitor of Protein Kinase CK2 Revealed by Complex Structures with the Catalytic Subunit CK2 alpha and Its Paralog CK2 alpha '.",1
SCHVARTZ,170,408,1,1,1,454 bits (1167),1.00E-127,408,0.67,277/408 (67%),0.68,280/408 (68%),0,1/408 (0%),Homo sapiens,2013-02-27,,4051275.25,237685,22251,,Composition-based stats,Structures of the human and Drosophila 80S ribosome.,82
BRUNNER,236,376,0.92,1.02,0.63,102 bits (253),1.00E-21,601,0.3,113/376 (30%),0.42,160/376 (42%),0.18,69/376 (18%),Micromonospora viridifaciens,2004-09-24,,65166.38,4629,601,1W8O_mb,Composition-based stats,Contribution of the Active Site Aspartic Acid to Catalysis in the Bacterial Neuraminidase from Micromonospora Viridifaciens,1
BH,48,387,0.95,1,0.92,778 bits (2010),0,420,0.96,375/387 (96%),0.96,375/387 (96%),0.04,15/349 (4%),Rattus norvegicus,2017-02-22,,95653.93,5380,840,,Composition-based stats,Development of 2-aminooxazoline 3-azaxanthene beta-amyloid cleaving enzyme (BACE) inhibitors with improved selectivity against Cathepsin D.,1
BRUNNER,151,374,0.95,1,0.97,678 bits (1749),0,384,0.83,311/374 (83%),0.91,343/374 (91%),0.11,43/360 (11%),Heterocephalus glaber,2016-12-13,,47417.45,3256,384,,Composition-based stats,Structural basis for the activation of acid ceramidase.,1
HICKEY,101,382,1,1,1.01,628 bits (1619),1.00E-180,380,0.78,301/382 (78%),0.89,342/382 (89%),0,3/382 (0%),Homo sapiens,2017-02-24,,164244.61,7643,1438,5UZ7_mb,Composition-based stats,Phase-plate cryo-EM structure of a class B GPCR-G-protein complex.,5
BRUNNER,140,159,0.39,0.41,0.95,256 bits (654),5.00E-68,168,0.84,134/159 (84%),0.93,149/159 (93%),0.01,3/166 (1%),Mus musculus,2016-09-01,,19330.57,1302,168,5GV0_mb,Composition-based stats,Lysosome-associated membrane proteins-1 and -2 (LAMP-1 and LAMP-2) assemble via distinct modes,1
BS,250,267,0.69,0.69,0.96,394 bits (1013),1.00E-109,279,0.68,184/267 (68%),0.8,215/267 (80%),0.09,14/141 (9%),Rattus norvegicus,2016-06-17,Hetero 11-mer - A8B3,158567.05,10515,1373,5KJ8_mb,Composition-based stats,Advances in X-ray free electron laser (XFEL) diffraction data processing applied to the crystal structure of the synaptotagmin-1 / SNARE complex.,5
SG,269,114,0.53,0.61,0.85,182 bits (462),3.00E-46,134,0.85,97/114 (85%),0.88,101/114 (88%),0,1/114 (0%),Homo sapiens,2011-12-12,,102109.05,2114,906,,Composition-based stats,Thermodynamic and structural description of allosterically regulated VEGFR-2 dimerization.,2
SCHVARTZ,152,283,0.72,0.72,1.01,358 bits (919),1.00E-98,281,0.56,161/283 (56%),0.75,214/283 (75%),0.01,4/283 (1%),Homo sapiens,2010-07-29,,31579.15,2230,281,,Composition-based stats,Crystal Structure of Human Ndrg2 Protein Provides Insight Into its Role as a Tumor Suppressor.,1
SCHVARTZ,261,472,0.98,0.98,0.98,872 bits (2253),0,484,0.89,421/472 (89%),0.94,446/472 (94%),0,1/472 (0%),Homo sapiens,2017-01-18,,110693.78,6779,968,,Composition-based stats,An alternative conformation of human TrpRS suggests a role of zinc in activating non-enzymatic function.,1
SCHVARTZ,26,376,1,1,1,771 bits (1991),0,376,1,376/376 (100%),1,376/376 (100%),0.01,5/371 (1%),Sus scrofa,2017-11-28,Hetero 35-mer - A10B4C3D2E2F2G2H2I2J2K2LM,1329139.88,48864,12282,,Composition-based stats,Cryo-EM shows how dynactin recruits two dyneins for faster movement.,21
SCHVARTZ,130,334,0.87,0.87,0.94,334 bits (856),2.00E-91,354,0.52,174/334 (52%),0.66,222/334 (66%),0,3/334 (0%),Homo sapiens,2017-11-27,Homo 2-mer - A2,76904.88,5137,693,,Composition-based stats,Insights into the inhibitory mechanisms of NADH on the alpha gamma heterodimer of human NAD-dependent isocitrate dehydrogenase.,2
SCHVARTZ,109,353,0.98,0.98,0.93,660 bits (1703),0,379,0.94,332/353 (94%),0.94,333/353 (94%),0.02,9/356 (2%),Homo sapiens,2014-06-03,,136036.41,8680,1172,,Composition-based stats,Molecular mechanisms of phospholipase C beta 3 autoinhibition.,2
HICKEY,24,377,1,1,1,788 bits (2034),0,377,1,377/377 (100%),1,377/377 (100%),0,1/365 (0%),Gallus gallus,2017-11-02,,133907.45,8832,1175,,Composition-based stats,The structure of the actin-smooth muscle myosin motor domain complex in the rigor state.,2
BH,19,375,1,1,1,783 bits (2021),0,375,1,375/375 (100%),1,375/375 (100%),0.01,7/373 (1%),Sus scrofa,2017-11-28,Hetero 35-mer - A10B4C3D2E2F2G2H2I2J2K2LM,1329139.88,48864,12282,,Composition-based stats,Cryo-EM shows how dynactin recruits two dyneins for faster movement.,21
BS,279,312,0.82,0.89,0.96,553 bits (1425),1.00E-157,324,0.91,284/312 (91%),0.93,292/312 (93%),0.04,4/88 (4%),Homo sapiens,2011-04-19,,37725.04,1969,324,,Composition-based stats,Modular Mechanism of Wnt Signaling Inhibition by Wnt Inhibitory Factor 1,1
BRUNNER,67,244,0.66,0.71,0.76,89.0 bits (219),1.00E-17,319,0.24,60/244 (24%),0.44,108/244 (44%),0.13,33/244 (13%),Bacillus subtilis (strain 168),2008-04-28,,72851.59,4956,638,,Composition-based stats,Crystal structure of putative glycosylase ydhD from Bacillus subtilis.,1
SCHVARTZ,199,351,1,1,0.99,713 bits (1840),0,353,0.99,348/351 (99%),0.99,350/351 (99%),0,1/352 (0%),Cricetulus griseus,2017-08-24,,43257.08,2832,371,,Composition-based stats,Crystal Structure of the Protein-Kinase A catalytic subunit from Criteculus Griseus in complex with compounds RKp193,2
BS,266,349,0.99,0.99,1.01,310 bits (794),3.00E-84,345,0.45,160/349 (45%),0.65,228/349 (65%),0.03,11/349 (3%),Saccharomyces cerevisiae (strain ATCC 204508 / S288c),2018-01-19,Hetero 15-mer - A10BCDEF,353416.88,22110,3265,6C6L_mb,Composition-based stats,The 3.5- angstrom CryoEM Structure of Nanodisc-Reconstituted Yeast Vacuolar ATPase VoProton Channel.,8
HS,108,333,0.94,0.94,1,680 bits (1755),0,333,0.99,331/333 (99%),0.99,331/333 (99%),0,2/355 (0%),Mus musculus,2008-02-07,,106575.98,6883,924,,Composition-based stats,Molecular architecture of G{alpha}o and the structural basis for RGS16-mediated deactivation.,2
BRUNNER,173,,,,,,,,,,,,,,,,,,,,,,,
BRUNNER,167,276,0.78,0.78,0.91,57.8 bits (138),3.00E-08,303,0.22,61/276 (22%),0.38,106/276 (38%),0.13,36/276 (13%),Mus musculus,2011-04-29,,33056.07,2259,303,2LCK_mb,Composition-based stats,Mitochondrial uncoupling protein 2 structure determined by NMR molecular fragment searching.,1
SCHVARTZ,237,298,0.88,0.88,1,519 bits (1336),1.00E-147,298,0.79,236/298 (79%),0.88,264/298 (88%),0,2/298 (0%),Sus scrofa,2009-07-01,,34968.64,2281,298,,Composition-based stats,Structural Insight Into Mammalian Sialyltransferases.,1
BH,91,363,1,1,1,674 bits (1740),0,363,0.92,334/363 (92%),0.94,343/363 (94%),0.01,5/360 (1%),Homo sapiens,2016-07-21,,157355.11,10102,1452,,Composition-based stats,Crystal structure of human muscle aldolase,1
SCHVARTZ,83,234,0.7,0.7,0.82,174 bits (440),3.00E-43,285,0.45,106/234 (45%),0.62,147/234 (62%),0.05,14/234 (5%),Saccharomyces cerevisiae (strain ATCC 204508 / S288c),2015-06-18,Hetero 44-mer - A2B2C2DEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmno,1424906,89768,9184,,Composition-based stats,Conformational Differences between Open and Closed States of the Eukaryotic Translation Initiation Complex.,44
BRUNNER,233,72,0.21,0.21,0.07,32.0 bits (71),1.9,981,0.27,20/72 (27%),0.41,30/72 (41%),0.15,11/72 (15%),Homo sapiens,2017-06-05,,165062.42,10700,1433,5W21_mb,Composition-based stats,alpha-Klotho is a non-enzymatic molecular scaffold for FGF23 hormone signalling.,3
SCHVARTZ,86,268,0.74,0.74,0.74,533 bits (1373),1.00E-151,364,0.99,266/268 (99%),0.99,266/268 (99%),0.11,33/286 (11%),Homo sapiens,2017-12-31,,2006440.13,116774,14118,,Composition-based stats,Structure of a human cap-dependent 48S translation pre-initiation complex.,47
BRUNNER,50,313,0.94,0.99,0.99,501 bits (1290),1.00E-142,316,0.74,232/313 (74%),0.87,275/313 (87%),0,1/221 (0%),Homo sapiens,1999-08-17,,35920.97,2566,316,,Composition-based stats,Structure of human procathepsin L reveals the molecular basis of inhibition by the prosegment.,1
BRUNNER,47,322,0.95,1,1,658 bits (1698),0,322,0.98,317/322 (98%),0.98,318/322 (98%),0.03,12/313 (3%),Rattus norvegicus,1996-01-12,,71267.25,4856,644,,Composition-based stats,Structure of rat procathepsin B: model for inhibition of cysteine protease activity by the proregion.,1
HICKEY,102,323,0.95,0.95,0.92,571 bits (1472),1.00E-163,350,0.9,291/323 (90%),0.95,309/323 (95%),0.01,5/327 (1%),Homo sapiens,2018-07-16,,184355.95,9434,1630,,Composition-based stats,"Cryo-EM structure of the active, Gs-protein complexed, human CGRP receptor.",7
SCHVARTZ,107,340,1,1,1,649 bits (1675),0,340,0.96,327/340 (96%),0.96,327/340 (96%),0.01,5/341 (1%),Bos taurus,2018-01-09,,126304.05,8117,1106,,Composition-based stats,Utilizing a structure-based docking approach to develop potent G protein-coupled receptor kinase (GRK) 2 and 5 inhibitors.,3
BRUNNER,177,320,0.99,0.99,0.48,283 bits (724),3.00E-76,673,0.45,146/320 (45%),0.65,211/320 (65%),0.01,6/320 (1%),Bos taurus,1997-09-16,,76251.97,5114,673,1AVC_mb,Composition-based stats,Crystal structure of bovine annexin VI in a calcium-bound state.,1
BS,106,323,0.95,0.95,0.94,583 bits (1503),1.00E-166,345,0.9,292/323 (90%),0.94,306/323 (94%),0.01,5/327 (1%),Rattus norvegicus,2018-03-05,Hetero 6-mer - A2BCDE,187799.73,11834,1684,,Composition-based stats,Rhodopsin-Gi complex,6
BRUNNER,153,162,0.47,0.5,1,303 bits (775),3.00E-82,162,0.87,142/162 (87%),0.93,151/162 (93%),0.13,43/317 (13%),Homo sapiens,1995-06-14,,66309.31,4619,606,,Composition-based stats,Three-dimensional structure of human lysosomal aspartylglucosaminidase.,2
SCHVARTZ,82,279,0.89,0.89,0.91,494 bits (1272),1.00E-140,308,0.93,260/279 (93%),0.93,262/279 (93%),0.03,9/278 (3%),Homo sapiens,2003-08-21,,35741.76,2425,308,,Composition-based stats,Solution Structure of Human Initiation Factor eIF2alpha Reveals Homology to the Elongation Factor eEF1B.,1
BRUNNER,30,319,1,1,0.99,585 bits (1509),1.00E-167,322,0.95,304/319 (95%),0.95,306/319 (95%),0.03,5/148 (3%),Rattus norvegicus,2008-02-06,,36254.07,2485,322,2ZHJ_mb,Composition-based stats,Structural Analysis for the Soduim-Dependent Dissociation of Annexin A4: Crystal Structures of Soduim-Bound Annexin A4 at High Resolutions,1
BH,99,333,1,1,1,640 bits (1650),0,333,0.95,318/333 (95%),0.98,328/333 (98%),0.01,5/335 (1%),Sus scrofa,2016-10-30,,112061.49,7815,999,,Composition-based stats,Novel Enhancer Binding Site Found In Bacteria And Eukaryota But Not In Archea.,1
BRUNNER,144,321,0.95,0.95,0.94,561 bits (1445),1.00E-160,342,0.89,288/321 (89%),0.93,299/321 (93%),0.01,4/329 (1%),Homo sapiens,2006-02-28,,148967.03,9501,1368,,Composition-based stats,Crystal Structure of Human Malate Dehydrogenase Type 2,1
SCHVARTZ,65,319,0.98,0.98,0.98,427 bits (1099),1.00E-119,325,0.72,231/319 (72%),0.74,237/319 (74%),0,1/238 (0%),Bos taurus,2018-02-06,Hetero 18-mer - A4B2C2D2E2F2G2H2,504353.28,30720,4518,,Composition-based stats,X-ray and cryo-EM structures of inhibitor-bound cytochromebc1complexes for structure-based drug discovery.,9
SCHVARTZ,150,126,0.41,0.45,1.02,32.3 bits (72),1.1,124,0.2,26/126 (20%),0.38,48/126 (38%),0.22,28/126 (22%),Homo sapiens,2010-05-14,,29921.08,1904,248,,Composition-based stats,Structural Basis for Oligosaccharide Recognition of Misfolded Glycoproteins by OS-9 in ER-Associated Degradation,1
SCHVARTZ,134,84,0.27,0.27,0.37,56.6 bits (135),6.00E-08,229,0.42,36/84 (42%),0.58,49/84 (58%),0.01,1/84 (1%),Petromyzon marinus,2008-08-15,,26321.67,1785,229,,Composition-based stats,Antigen recognition by variable lymphocyte receptors.,1
BS,128,278,0.89,0.95,0.91,484 bits (1246),1.00E-137,306,0.85,237/278 (85%),0.92,257/278 (92%),0.16,14/87 (16%),Homo sapiens,2014-10-09,,69197.94,4642,612,,Composition-based stats,Recognition of microbial glycans by human intelectin-1.,1
BRUNNER,164,278,0.91,1,0.93,528 bits (1361),1.00E-150,298,0.87,243/278 (87%),0.94,262/278 (94%),0.11,29/257 (11%),Homo sapiens,2009-03-26,,68291.13,4239,596,3GRO_mb,Composition-based stats,Human palmitoyl-protein thioesterase 1,1
SCHVARTZ,205,128,0.42,0.42,0.96,172 bits (437),5.00E-43,134,0.62,80/128 (62%),0.81,104/128 (81%),0.07,4/53 (7%),Rattus norvegicus,1998-11-06,,39786,2478,337,1ZBD_mb,Composition-based stats,Structural basis of Rab effector specificity: crystal structure of the small G protein Rab3A complexed with the effector domain of rabphilin-3A.,2
HICKEY,162,116,0.4,0.4,0.87,234 bits (598),1.00E-61,133,1,116/116 (100%),1,116/116 (100%),0,1/107 (0%),Mus musculus,2013-10-17,,73371.06,4036,665,,Composition-based stats,Structural polymorphism in the N-terminal oligomerization domain of NPM1.,1
BRUNNER,119,45,0.16,0.16,0.22,37.0 bits (84),0.045,208,0.35,16/45 (35%),0.57,26/45 (57%),0.12,7/58 (12%),Coxiella burnetii (strain RSA 493 / Nine Mile phase I),2011-09-09,,23493.5,1656,208,,Composition-based stats,Structural genomics for drug design against the pathogen Coxiella burnetii.,1
BRUNNER,135,,,,,,,,,,,,,,,,,,,,,,,
BRUNNER,172,,,,,,,,,,,,,,,,,,,,,,,
SCHVARTZ,105,71,0.95,0.95,1,104 bits (259),5.00E-23,71,0.76,54/71 (76%),0.91,65/71 (91%),,,Homo sapiens,2018-07-16,,184355.95,9434,1630,,Composition-based stats,"Cryo-EM structure of the active, Gs-protein complexed, human CGRP receptor.",7
BRUNNER,202,233,0.85,1,0.91,488 bits (1257),1.00E-138,255,0.98,230/233 (98%),0.99,231/233 (99%),0.01,3/198 (1%),Mus musculus,2012-09-03,,287804.88,13617,2550,,Composition-based stats,Synergistic cooperation of PDI family members in peroxiredoxin 4-driven oxidative protein folding,1
